Group,Component,Category,Sequence ID,Test Case Type,Pairwise Config Profile,Pairwise Auto Generate Sub Test Case,Test Automation Configuration - Test Sets,Test Case ID,External Test Case ID,Name,Description,Sub Test Case Parameter,Owner,Subsystem Solution,Priority,Test Type,Test Level,Status,Automation,Test Environment,Test Procedures,Step Expected Result,Pre-Condition,Post-Condition,Execution Time,Test Script ID,Operating Systems,Platforms,RTM ID,Portfolio,Add Tags,Item Type,Project,Api ID,Ssh Wrapper Configuration - Ssh Wrapper Steps,
GFX,LIN_MEDIA,F,GST_MSDK_ENC_MJPEG,M,,No,Test Set 1,LIN_MEDIA-FGST_MSDK_ENC_MJPEG-M,,GST MSDK Encoding MJPEG,To validate the fixed function hardware accelerated MJPEG video encoding with specific resolution,,benjamin.ben-jie.khaw@intel.com,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Simics
2. startx &","1. gst-launch-1.0 -v filesrc location=/media/Raw_Videos/Puppies_320x240_5frames_NV12.yuv ! videoparse width=320 format=nv12 framerate=30 height=240 ! msdkmjpegenc quality=100 ! avimux ! filesink location=/tmp/Puppies_320x240_5frames.avi
2. gst-launch-1.0 filesrc location =/tmp/Puppies_320x240_5frames.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not be smooth due to simics limitation
3. Video playback has no corruption.
4. System does not hang or freeze.",,,10,,,,,,"embedded, Client, FuSa, Industrial, Media",Folder,Project,,Ssh Wrapper Step 1,
,,,, ,,,,LIN_MEDIA-FGST_MSDK_ENC_MJPEG-M-001,,"MJPEG Video Encoding-Framerate: 30 fps, Format: MJPEG, Width: 640, Height: 480",,--video_id GSTMSDK_ENC-MJPEG-002 --type encode_format --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. startx &","1. gst-launch-1.0 -v filesrc location=/media/RAWS/test_03_640x480_NV12.yuv ! videoparse width=640 format=nv12 framerate=30 height=480 ! msdkmjpegenc quality=100 ! avimux ! filesink location=/tmp/test_03_640x480.avi
2. gst-launch-1.0 filesrc location =/tmp/test_03_640x480.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback is smooth.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,10,0,,,939280,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_ENC_MJPEG-M-002,,"MJPEG Video Encoding- Framerate: 60 fps, Format: MJPEG, Width: 720, Height: 480",,--video_id GSTMSDK_ENC-MJPEG-003 --type encode_format --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. startx &","1. gst-launch-1.0 -v filesrc location=/media/RAWS/iceage_720x480_491_NV12.yuv ! videoparse width=720 format=nv12 framerate=30 height=480 ! msdkmjpegenc quality=100 ! avimux ! filesink location=/tmp/iceage_720x480.avi
2. gst-launch-1.0 filesrc location =/tmp/iceage_720x480.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback is smooth.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,10,0,,,939280,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_ENC_MJPEG-M-003,,"MJPEG Video Encoding -Framerate: 30 fps, Format: MJPEG, Width: 1280, Height: 720",,--video_id GSTMSDK_ENC-MJPEG-004 --type encode_format --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. startx &","1. gst-launch-1.0 -v filesrc location=/media/RAWS/Suzie_1280x720_NV12.yuv ! videoparse width=1280 format=nv12 framerate=30 height=720 ! msdkmjpegenc quality=100 ! avimux ! filesink location=/tmp/Suzie_1280x720.avi
2. gst-launch-1.0 filesrc location =/tmp/Suzie_1280x720.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback is smooth.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,10,0,,,939280,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_ENC_MJPEG-M-004,,"MJPEG Video Encoding -  Framerate: 60 fps, Format: MJPEG, Width: 1920, Height: 1080",,--video_id GSTMSDK_ENC-MJPEG-005 --type encode_format --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. startx &","1. gst-launch-1.0 -v filesrc location=/media/RAWS/test_12_1920x1080_NV12.yuv ! videoparse width=1920 format=nv12 framerate=30 height=1080 ! msdkmjpegenc quality=100 ! avimux ! filesink location=/tmp/test_12_1920x1080.avi
2. gst-launch-1.0 filesrc location =/tmp/test_12_1920x1080.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback is smooth.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,10,0,,,939280,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
GFX,LIN_MEDIA,F,GST_MSDK_REN_H264_X11,M,,No,Test Set 2,LIN_MEDIA-FGST_MSDK_REN_H264_X11-M,,GST MSDK Rendering H264 X11,To validate the hardware accelerated decode of H265 for GST-MSDK with specific FPS and resolution in X11,,benjamin.ben-jie.khaw@intel.com,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &","1. Run the Gstreamer with MSDK Plugin for rendering with its required parameters
2. Playback the videos","1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",Folder,Project,,Ssh Wrapper Step 2,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264_X11-M-001,,"H264 Video Rendering- Profile: Main@L3.1, Bitrate: 1.75MBPS, Framerate: 30 fps, Format: H264, Width: 800, Height: 600",,--desktop xterm_1080 --video_id GSTMSDK_REN_EHL-H264-002 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_800x600_1.75mbps_30fps_Main@L3.1.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264_X11-M-002,,"H264 Video Rendering - Profile: Main@L4.1, Bitrate: 6.25MBPS, Framerate: 60 fps, Format: H264, Width: 1280, Height: 720",,--desktop xterm_1080 --video_id GSTMSDK_REN_EHL-H264-003 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_1280x720_6.25mbps_60fps_Main@L4.1.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264_X11-M-003,,"H264 Video Rendering - Profile: Main@L5.1, Bitrate: 30MBPS, Framerate: 60 fps, Format: H264, Width: 1920, Height: 1080",,--desktop xterm_1080 --video_id GSTMSDK_REN_EHL-H264-004 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_1920x1080_30mbps_60fps_Main@L5.2.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264_X11-M-004,,"H264 Video Rendering - Profile: Main@L5.2, Bitrate: 30MBPS, Framerate: 60 fps, Format: H264, Width: 3840, Height: 2160",,--desktop xterm_4k --video_id GSTMSDK_REN_EHL-H264-007 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_3840x2160_30mbps_30fps_Main@L5.2.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
